what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340037606496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037606903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037608989
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1340037627268
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1340037627410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340037628393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340037628997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340037632697
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340037635930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037636347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037638436
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1340037650306
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1340037650434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340037653345
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340037654012
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1340037666514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340037668623
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340037668912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037669303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037671295
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340037676773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037680007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037691264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340037697583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340037699098
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340037703466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037703833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037706512
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340037707596
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340037707704
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340037707750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037716095
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1340037718877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340037718877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037718911
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340037719044
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340037722891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037723265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037725281
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340037733160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037735304
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1340037735541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340037735587
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1340037750742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1340037754920
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340037755325
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340037756489
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340037757686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340037759594
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1340037761285
